CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ADM1100,M,Lecture 1,1,08:30,10:00,DMS 1160,INTRODUCTION TO BUSINESS MGMT.,Patrick Woodcock
ADM1100,M,Lecture 2,4,10:00,11:30,DMS 1160,INTRODUCTION TO BUSINESS MGMT.,Patrick Woodcock
ADM1100,N,Lecture 1,4,19:00,22:00,DMS 1160,INTRODUCTION TO BUSINESS MGMT.,Patrick Woodcock
ADM1101,M,Lecture 1,2,19:00,22:00,DMS 1160,SOCIAL CONTEXT OF BUSINESS,Joseph Audi
ADM1300,M,Lecture 1,1,10:00,11:30,LEE C104,INTRO. TO BUSINESS MANAGEMENT,Gerard Brathwaite-Sturgeon
ADM1300,M,Lecture 2,3,08:30,10:00,LEE B152,INTRO. TO BUSINESS MANAGEMENT,Gerard Brathwaite-Sturgeon
ADM1300,M,Discussion Group 1,3,13:00,14:30,DMS 11161,INTRO. TO BUSINESS MANAGEMENT,Not available at this time.
ADM1300,M,Discussion Group 2,3,14:30,16:00,LEE B152,INTRO. TO BUSINESS MANAGEMENT,Not available at this time.
ADM1300,M,Discussion Group 3,4,14:30,16:00,DMS 8161,INTRO. TO BUSINESS MANAGEMENT,Not available at this time.
ADM1300,M,Discussion Group 4,2,14:30,16:00,DMS 11161,INTRO. TO BUSINESS MANAGEMENT,Not available at this time.
ADM1301,M,Lecture 1,3,19:00,22:00,STE G0103,SOCIAL CONTEXT OF BUSINESS,Daina Mazutis
ADM1340,M,Lecture 1,1,11:30,13:00,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
ADM1340,M,Lecture 2,4,13:00,14:30,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
ADM1340,M,Discussion Group 1,4,16:00,17:30,MRT 219,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,N,Lecture 1,1,19:00,22:00,DMS 1150,FINANCIAL ACCOUNTING,Shujun Ding
ADM1340,N,Discussion Group 1,1,17:30,19:00,UCU 205,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,P,Lecture 1,1,16:00,17:30,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
ADM1340,P,Lecture 2,3,14:30,16:00,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
ADM1340,P,Discussion Group 1,3,17:30,19:00,MRT 219,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,Q,Lecture 1,3,16:00,17:30,DMS 1150,FINANCIAL ACCOUNTING,Darlene Himick
ADM1340,Q,Lecture 2,5,14:30,16:00,DMS 1150,FINANCIAL ACCOUNTING,Darlene Himick
ADM1340,Q,Discussion Group 1,3,19:00,20:30,TBT 323,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,R,Lecture 1,4,19:00,22:00,DMS 1140,FINANCIAL ACCOUNTING,Devinder Gandhi
ADM1340,R,Discussion Group 1,4,17:30,19:00,MRT 251,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,S,Lecture 1,3,10:00,11:30,DMS 1150,FINANCIAL ACCOUNTING,Devinder Gandhi
ADM1340,S,Lecture 2,5,08:30,10:00,DMS 1150,FINANCIAL ACCOUNTING,Devinder Gandhi
ADM1340,S,Discussion Group 1,5,11:30,13:00,TBT 325,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,T,Lecture 1,3,19:00,22:00,HGN 302,FINANCIAL ACCOUNTING,Richard Musselman
ADM1340,T,Discussion Group 1,3,17:30,19:00,SMD 222,FINANCIAL ACCOUNTING,Not available at this time.
ADM1340,V,Lecture 1,2,16:00,17:30,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
ADM1340,V,Lecture 2,4,14:30,16:00,DMS 1150,FINANCIAL ACCOUNTING,Lamia Chourou
