CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
API6339,B,Seminar 1,1,17:30,20:30,FSS 9003,SPECIAL TOPICS IN INTERN. AFF.,Alexandra Gheciu
API6339,C,Seminar 1,3,14:30,17:30,FSS 6032,SPECIAL TOPICS IN INTERN. AFF.,Rita Abrahamsen
API6339,D,Seminar 1,5,14:30,17:30,FSS 6032,SPECIAL TOPICS IN INTERN. AFF.,Michael Williams
API6339,E,Seminar 1,4,11:30,14:30,SMD 429,SPECIAL TOPICS IN INTERN. AFF.,Paul Robinson
API6399,B,Seminar 1,3,08:30,11:30,FSS 6032,CAPSTONE SEMINAR,Peter Jones
API6399,C,Seminar 1,2,17:30,20:30,FSS 6004,CAPSTONE SEMINAR,David Petrasek
API6399,D,Seminar 1,2,08:30,11:30,FSS 6032,CAPSTONE SEMINAR,Ravi Pendakur
API6399,H,Seminar 1,5,08:30,11:30,FSS 6004,CAPSTONE SEMINAR,Ravi Pendakur
API6735,A,Seminar 1,2,14:30,17:30,FSS 6032,POLITIQUE ÉTRANGÈRE CANADIENNE,Thomas Juneau
API6739,C,Seminar 1,3,17:30,20:30,FSS 6004,THÈMES CHOISIS EN AFF. INTERN.,Gilles Breton
ART5961,A,Laboratory 1,3,13:30,17:30,LRR 114,ATELIER I / STUDIO I,Jinny Yu
ART5971,A,Lecture 1,1,08:30,11:30,DMS 11143,ART &amp; THÉOR. CULT/CULT THEORY,Andrea Fitzpatrick
ART6964,A,Laboratory 1,3,13:30,17:30,LRR 114,PRAT. AVANCÉE I / ADVANCED I,Jinny Yu
ART6972,A,Lecture 1,5,08:30,11:30,VNR 3076,MÉDIATION / MEDIATION,Jakub Zdebik
BCH5101,,Seminar 1,1,13:00,16:00,RGN 1007,ANALYSIS OF -OMICS DATA,David Bickel
BCH5366,F,Seminar 1,5,13:00,16:00,Consult the department,MSc SEMINAR,Not available at this time.
BCH8106,,Lecture 1,4,09:00,12:00,RGN 2111,ADV TOP NUTRI REGULATION META,Mary-Ellen Harper
BCH8116,,Lecture 1,2,09:00,12:00,Consult the department,MODEL ORGANISMS &amp; SYSTEMS BIO.,Kristin Baetz
BCH8310,,Lecture 1,4,13:00,16:00,RGN 3001,CURRENT TOPIC RNA MOLEC. BIO.,Martin Pelchat
BCH8366,F,Seminar 1,5,13:00,16:00,Consult the department,PhD SEMINAR,Not available at this time.
BIL5101,A,Seminar 1,5,08:30,11:30,VNR 4084,ISSUES IN BILINGUALISM STUDIES,Tahereh Paribakht
BIL5104,A,Seminar 1,2,14:30,17:30,DMS 8143,TRENDS AND ISSUES IN RESEARCH,Marie-Josee Hamel
BIL5507,A,Seminar 1,3,19:00,22:00,DMS 9143,PLANIF &amp; POLITIQUE LING CANADA,Sylvie Lamoureux
BIO5900,F,Seminar 1,2,10:00,11:30,Consult the department,Séminaire de maîtrise%%M.Sc. S,Thomas Moon
BIO8102,B,Lecture 1,1,13:00,14:30,SMD 224,SPECIAL TOPICS IN BIOLOGY,Howard Rundle
BIO8102,B,Lecture 2,3,11:30,13:00,SMD 224,SPECIAL TOPICS IN BIOLOGY,Howard Rundle
BIO8102,B,Laboratory 1,3,14:30,17:30,Consult the department,SPECIAL TOPICS IN BIOLOGY,Howard Rundle
BIO8102,B,Laboratory 2,3,14:30,17:30,Consult the department,SPECIAL TOPICS IN BIOLOGY,Howard Rundle
BIO8102,J,Lecture 1,3,16:30,19:30,LMX 223,SPECIAL TOPICS IN BIOLOGY,Linda Bonen
BIO8162,,Lecture 1,2,13:00,14:30,LMX 390,ADVANCED ENDOCRINOLOGY,Vance Trudeau
BIO8162,,Lecture 2,4,11:30,13:00,LMX 390,ADVANCED ENDOCRINOLOGY,Vance Trudeau
BIO8510,,Lecture 1,1,08:30,10:00,TBT 317,THÈMES CHOISIS EN BIOLOGIE,Not available at this time.
BIO8510,,Lecture 2,4,10:00,11:30,FSS 11003,THÈMES CHOISIS EN BIOLOGIE,Not available at this time.
BIO8900,F,Seminar 1,2,10:00,11:30,Consult the department,Séminaire de Doctorat%%Ph.D. S,Thomas Moon
BMG5103,,Lecture 1,4,14:30,17:30,FSS 1007,BIOMEDICAL INSTRUMENTATION,Miodrag Bolic
BNF5106,,Lecture 1,1,13:00,14:30,DMS 8143,BIOINFORMATICS,Stéphane Aris-Brosou
BNF5106,,Lecture 2,3,11:30,13:00,DMS 8143,BIOINFORMATICS,Stéphane Aris-Brosou
BNF5107,,Lecture 1,1,13:00,14:30,SMD 224,APPLIED BIOINFORMATICS,Not available at this time.
BNF5107,,Lecture 2,3,11:30,13:00,SMD 224,APPLIED BIOINFORMATICS,Not available at this time.
BNF5107,,Laboratory 1,3,14:30,17:30,Consult the department,APPLIED BIOINFORMATICS,Not available at this time.
BNF5107,,Laboratory 2,3,14:30,17:30,Consult the department,APPLIED BIOINFORMATICS,Not available at this time.
CHG8101S,F,Seminar 1,3,10:00,11:30,LMX 219,SEMINAR I,Xudong Cao
CHG8102S,F,Seminar 1,3,10:00,11:30,LMX 219,SEMINAR II,Xudong Cao
CHG8132,F,Lecture 1,5,14:30,17:30,ART 257,ADSORPTION SEPARA. PROCESSES,F. Handan Tezel
CHG8188,F,Lecture 1,1,14:30,17:30,VNR 3075,Polymer Properties and Charact,Xudong Cao
CHG8191,D,Lecture 1,2,14:30,17:30,LPR 155,SELECTED TOPICS CHEM ENGINEER,Christopher Lan
CHG8191,E,Lecture 1,4,08:30,11:30,TBT 315,SELECTED TOPICS CHEM ENGINEER,Sidney Omelon
CHG8191,G,Lecture 1,3,14:30,17:30,CBY B012,SELECTED TOPICS CHEM ENGINEER,Zisheng Zhang
CHG8191,H,Lecture 1,4,14:30,17:30,VNR 2095,SELECTED TOPICS CHEM ENGINEER,Zisheng Zhang
