CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
DRC4731,A,Course has on-line/classroom activities 1,2,08:30,11:30,FTX 137,THÈMES CHOISIS EN DROIT,Maude Choko
DRC4731,A1,Lecture 1,4,13:00,16:00,GSD 307,THÈMES CHOISIS EN DROIT,Nora Paillon
DRC4731,B,Seminar 1,5,13:00,16:00,FTX 137,THÈMES CHOISIS EN DROIT,Mistrale Goudreau
DRC4731,C,Tutorial 1,6,13:00,16:00,Consult the department,THÈMES CHOISIS EN DROIT,Anthony Daimsis
DRC4739,A,Lecture 1,2,13:00,16:00,FTX 227,DROIT DU TRAVAIL GÉNÉRAL,Denis Nadeau
DRC4739,B,Lecture 1,5,13:00,16:00,FTX 227,DROIT DU TRAVAIL GÉNÉRAL,Denis Nadeau
DRC4745,A,Lecture 1,1,13:00,16:00,FTX 232,DROIT FISCAL GÉNÉRAL,Marie-Êve Aubry
DRC4754,,Lecture 1,1,08:30,11:30,FTX 227,PROPRIÉTÉ INTELLEC. ET INDUSTR,Mistrale Goudreau
DRC4757,,Lecture 1,3,08:30,11:30,FTX 235,THÈMES CHOISIS DROIT TECHNOLO.,Mistrale Goudreau
DRC4764,A,Lecture 1,5,08:30,11:30,FTX 361,DROIT DE L'ENVIRONNEMENT,Sophie Thériault
DRC4775,A,Lecture 1,1,19:00,22:00,FTX 302,DROIT PÉNAL II,Marc Bastien
DRC4778,,Seminar 1,2,10:00,11:30,THN 133,THÈMES CHOIS DROIT PÉNAL II,Joao Velloso
DRC4778,,Seminar 2,5,13:00,14:30,FTX 316,THÈMES CHOIS DROIT PÉNAL II,Joao Velloso
DRC4790,A,Lecture 1,2,08:30,11:30,FTX 147,DROIT DES OBLIGATIONS I,Michel Vermette
DRC4790,B,Lecture 1,1,13:00,16:00,FTX 147,DROIT DES OBLIGATIONS I,Julie Paquin
DRC4790,C,Lecture 1,2,13:00,16:00,FTX 147B,DROIT DES OBLIGATIONS I,Michel Vermette
DRC4791,A,Lecture 1,1,13:00,16:00,FTX 147B,DROIT DES BIENS,Richard Brouillet
DRC4791,B,Lecture 1,3,13:00,16:00,FTX 147A,DROIT DES BIENS,Denis Vincelette
DRC4791,C,Lecture 1,4,13:00,16:00,FTX 147A,DROIT DES BIENS,Denis Vincelette
DRC4792,A,Lecture 1,3,13:00,16:00,FTX 147,DROIT PERSONNES ET FAMILLE,François Simard
DRC4792,B,Lecture 1,4,14:30,17:30,FTX 302,DROIT PERSONNES ET FAMILLE,Michelle Giroux
DRC4792,C,Lecture 1,3,08:30,11:30,FTX 147A,DROIT PERSONNES ET FAMILLE,Julie Cousineau
DRC4793,,Lecture 1,4,11:30,14:30,FTX 136,PENSÉE CIVILISTE,Jabeur Fathally
DRC4795,A,Lecture 1,2,08:30,11:30,FTX 135,DROIT DES OBLIGATIONS III,Ivaylo Kraychev
DRC4795,B,Lecture 1,2,13:00,16:00,FTX 351,DROIT DES OBLIGATIONS III,Marieve Lacroix
DRC4795,C,Lecture 1,1,13:00,16:00,FTX 227,DROIT DES OBLIGATIONS III,Marieve Lacroix
DRC4796,A,Lecture 1,2,08:30,11:30,FTX 361,DROIT INTERNATIONAL PRIVÉ,Claude Emanuelli
DRC4796,B,Lecture 1,4,08:30,11:30,FTX 227,DROIT INTERNATIONAL PRIVÉ,Mounia Allouch
DRC4797,,Lecture 1,3,08:30,11:30,FTX 202,PROCÉDURE CIVILE I,Benoit Duchesne
