CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
PDP2685,ZC,Lecture 1,2,18:00,21:00,LMX 241,COMM LANG SIGNES QUEBECOISE,Joel Lemay
PDP2685,ZC,Lecture 2,4,18:00,21:00,LMX 241,COMM LANG SIGNES QUEBECOISE,Joel Lemay
PDP2686,ZC,Lecture 1,2,18:00,21:00,Consult the department,COMMUNICATION AUDIO-ORALE,Not available at this time.
PDP2686,ZC,Lecture 2,4,18:00,21:00,Consult the department,COMMUNICATION AUDIO-ORALE,Not available at this time.
PED2508,A,Lecture 1,3,16:00,19:00,LMX 405,LA RELATION PÉDAGOGIQUE,Chantal Bois
PED3505,A,Lecture 1,2,16:00,19:00,LMX 405,LANGUE FRANCAISE MILIEU MINOR.,Sylvie Rochon
