CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CEG2136,A,Lecture 1,2,14:30,16:00,STE A0150,COMPUTER ARCHITECTURE I,Voicu Groza
CEG2136,A,Lecture 2,5,16:00,17:30,STE A0150,COMPUTER ARCHITECTURE I,Voicu Groza
CEG2136,A,Discussion Group 1,4,19:00,20:30,UCU 205,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,A,Discussion Group 2,4,17:30,19:00,MCD 120,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,A,Discussion Group 3,4,11:30,13:00,UCU 205,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,A,Laboratory 1,3,19:00,22:00,CBY B302,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,A,Laboratory 2,2,16:00,19:00,CBY B302,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Lecture 1,2,14:30,16:00,STE H0104,COMPUTER ARCHITECTURE I,Fadi Malek
CEG2136,B,Lecture 2,5,16:00,17:30,STE H0104,COMPUTER ARCHITECTURE I,Fadi Malek
CEG2136,B,Discussion Group 1,3,20:30,22:00,MRT 256,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Discussion Group 2,3,19:00,20:30,MRT 256,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Discussion Group 3,2,11:30,13:00,STE C0136,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Discussion Group 4,5,13:00,14:30,STE C0136,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Laboratory 1,4,17:30,20:30,CBY B302,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,B,Laboratory 2,4,11:30,14:30,CBY B302,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,C,Lecture 1,1,10:00,11:30,MRT 252,COMPUTER ARCHITECTURE I,Voicu Groza
CEG2136,C,Lecture 2,3,08:30,10:00,MRT 252,COMPUTER ARCHITECTURE I,Voicu Groza
CEG2136,C,Laboratory 1,3,11:30,14:30,CBY B302,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2136,C,Tutorial 1,4,13:00,14:30,TBT 323,COMPUTER ARCHITECTURE I,Not available at this time.
CEG2536,A,Lecture 1,2,14:30,16:00,SCS E217,ARCHITECTURE DES ORDINATEURS I,Rami Abielmona
CEG2536,A,Lecture 2,5,16:00,17:30,SCS E217,ARCHITECTURE DES ORDINATEURS I,Rami Abielmona
CEG2536,A,Laboratory 1,1,14:30,17:30,CBY B302,ARCHITECTURE DES ORDINATEURS I,Not available at this time.
CEG2536,A,Tutorial 1,3,14:30,16:00,LPR 154,ARCHITECTURE DES ORDINATEURS I,Not available at this time.
CEG3136,A,Lecture 1,1,13:00,14:30,TBT 327,COMPUTER ARCHITECTURE II,Mohamed Ibrahim
CEG3136,A,Lecture 2,3,13:00,14:30,CBY B202,COMPUTER ARCHITECTURE II,Mohamed Ibrahim
CEG3136,A,Laboratory 1,4,19:00,22:00,STE 2061,COMPUTER ARCHITECTURE II,Not available at this time.
CEG3136,A,Tutorial 1,4,17:30,19:00,LEE C104,COMPUTER ARCHITECTURE II,Not available at this time.
CEG3155,A,Lecture 1,3,10:00,11:30,LEE C102,DIGITAL SYSTEMS II,Miodrag Bolic
CEG3155,A,Lecture 2,5,08:30,10:00,LEE C102,DIGITAL SYSTEMS II,Miodrag Bolic
CEG3155,A,Laboratory 1,3,19:00,22:00,STE 2061,DIGITAL SYSTEMS II,Not available at this time.
CEG3155,A,Tutorial 1,3,17:30,19:00,CBY E015,DIGITAL SYSTEMS II,Not available at this time.
CEG3536,A,Lecture 1,1,11:30,13:00,DMS 8143,ARCHITECTURE D'ORDINATEURS II,Mohamed Ibrahim
CEG3536,A,Lecture 2,4,13:00,14:30,DMS 8143,ARCHITECTURE D'ORDINATEURS II,Mohamed Ibrahim
CEG3536,A,Laboratory 1,5,14:30,17:30,STE 2061,ARCHITECTURE D'ORDINATEURS II,Not available at this time.
