CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ENG3133,B,Lecture 1,3,16:00,17:30,SMD 428,ELIZABETHAN SHAKESPEARE,Irene Makaryk
ENG3133,B,Lecture 2,5,14:30,16:00,SMD 428,ELIZABETHAN SHAKESPEARE,Irene Makaryk
ENG3134,B,Lecture 1,1,13:00,14:30,LMX 390,Jacobean Shakespeare,Jennifer Panek
ENG3134,B,Lecture 2,3,11:30,13:00,LMX 390,Jacobean Shakespeare,Jennifer Panek
ENG3164,B,Lecture 1,2,16:00,19:00,ART 318,WORKSHOP IN CREATIVE WRITING,Amal El-Mohtar
ENG3318,B,Lecture 1,2,13:00,14:30,MRT 219,Romantic Literature,Morgan Rooney
ENG3318,B,Lecture 2,4,11:30,13:00,MRT 219,Romantic Literature,Morgan Rooney
ENG3320,C,Lecture 1,1,11:30,13:00,MRT 252,MODERN BRITISH LITERATURE,Craig Gordon
ENG3320,C,Lecture 2,4,13:00,14:30,MRT 252,MODERN BRITISH LITERATURE,Craig Gordon
ENG3323,B,Lecture 1,1,14:30,16:00,MRT 252,MEDIEVAL LITERATURE I,Geoff Rector
ENG3323,B,Lecture 2,4,16:00,17:30,MRT 252,MEDIEVAL LITERATURE I,Geoff Rector
ENG3339,C,Lecture 1,2,10:00,11:30,TBT 323,SIXTEENTH CENTURY LITERATURE,Victoria Burke
ENG3339,C,Lecture 2,4,08:30,10:00,TBT 323,SIXTEENTH CENTURY LITERATURE,Victoria Burke
ENG3340,B,Lecture 1,1,08:30,10:00,MRT 219,SEVENTEENTH CENTURY LITERATURE,Nicholas Von Maltzahn
ENG3340,B,Lecture 2,4,10:00,11:30,MRT 219,SEVENTEENTH CENTURY LITERATURE,Nicholas Von Maltzahn
ENG3340,C,Lecture 1,1,11:30,13:00,TBT 323,SEVENTEENTH CENTURY LITERATURE,Nicholas Von Maltzahn
