CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CML1101,A1,Lecture 1,1,08:30,10:00,FTX 361,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A2,Lecture 1,2,14:30,16:00,FTX 359,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A3,Lecture 1,1,17:30,19:00,FTX 361,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A4,Lecture 1,2,13:00,14:30,FTX 147B,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1101,A5,Lecture 1,2,08:30,10:00,FTX 359,PRINCIPLES OF LEGAL RESEARCH,Melanie Mallet
CML1102,A,Lecture 1,5,11:30,13:30,FTX 147A,CONTRACTS,Stephen Blair
CML1102,A,Tutorial 1,5,10:00,11:30,SMD 428,CONTRACTS,Not available at this time.
CML1102,B,Lecture 1,5,11:30,13:30,FTX 147,CONTRACTS,Chidi Oguamanam
CML1102,B,Tutorial 1,5,10:00,11:30,LMX 220,CONTRACTS,Not available at this time.
CML1102,C,Lecture 1,5,08:30,10:30,FTX 302,CONTRACTS,Anthony Vanduzer
CML1102,C,Tutorial 1,5,11:30,13:00,FTX 227,CONTRACTS,Anthony Vanduzer
CML1102,D,Lecture 1,5,08:30,10:30,FTX 351,CONTRACTS,Kristen Thomasen
CML1102,D,Tutorial 1,5,11:30,13:00,FTX 232,CONTRACTS,Not available at this time.
CML1103,A,Lecture 1,2,10:00,11:30,FTX 147A,CRIMINAL LAW AND PROCEDURE,Elizabeth Sheehy
CML1103,A,Lecture 2,4,10:00,11:30,FTX 351,CRIMINAL LAW AND PROCEDURE,Elizabeth Sheehy
CML1103,A,Tutorial 1,4,13:00,14:30,FTX 227,CRIMINAL LAW AND PROCEDURE,Not available at this time.
CML1103,B,Lecture 1,2,10:00,11:30,FTX 147B,CRIMINAL LAW AND PROCEDURE,Graham Mayeda
CML1103,B,Lecture 2,4,10:00,11:30,FTX 302,CRIMINAL LAW AND PROCEDURE,Graham Mayeda
CML1103,B,Tutorial 1,4,13:00,14:30,FTX 232,CRIMINAL LAW AND PROCEDURE,Not available at this time.
CML1105,A,Lecture 1,1,15:00,17:00,FTX 136,FIRST YEAR THEMATIC COURSE,Colleen Flood
CML1105,A,Lecture 2,3,08:30,10:30,TBT 317,FIRST YEAR THEMATIC COURSE,Colleen Flood
CML1105,B,Lecture 1,1,15:00,17:00,FTX 315,FIRST YEAR THEMATIC COURSE,Jane Bailey
CML1105,B,Lecture 2,3,08:30,10:30,FTX 315,FIRST YEAR THEMATIC COURSE,Jane Bailey
CML1105,C,Lecture 1,1,15:00,17:00,FTX 416,FIRST YEAR THEMATIC COURSE,Heather McLeod-Kilmurray
CML1105,C,Lecture 2,3,09:00,11:00,FTX 416,FIRST YEAR THEMATIC COURSE,Heather McLeod-Kilmurray
CML1105,D,Lecture 1,1,15:00,17:00,FTX 402,FIRST YEAR THEMATIC COURSE,Tenille Brown
