CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CVG2107,A,Lecture 2,4,11:30,13:00,HGN 302,GEOTECH MATERIAL AND PROCESSES,Rozalina Dimitrova
CVG2107,A,Laboratory 1,1,10:00,13:00,CBY D113,GEOTECH MATERIAL AND PROCESSES,Not available at this time.
CVG2107,A,Laboratory 2,3,13:00,16:00,CBY D113,GEOTECH MATERIAL AND PROCESSES,Not available at this time.
CVG2107,A,Laboratory 3,5,14:30,17:30,CBY D113,GEOTECH MATERIAL AND PROCESSES,Not available at this time.
CVG2116,A,Lecture 1,2,08:30,10:00,FSS 1007,INTRO TO FLUID MECHANICS,Christopher Lane
CVG2116,A,Lecture 2,5,10:00,11:30,FSS 1007,INTRO TO FLUID MECHANICS,Christopher Lane
CVG2116,A,Laboratory 1,2,14:30,17:30,CBY E02,INTRO TO FLUID MECHANICS,Not available at this time.
CVG2116,A,Laboratory 2,3,08:30,11:30,CBY E02,INTRO TO FLUID MECHANICS,Not available at this time.
CVG2116,A,Tutorial 1,2,17:30,19:00,DMS 1140,INTRO TO FLUID MECHANICS,Not available at this time.
CVG2140,A,Lecture 1,2,11:30,13:00,STE B0138,MECHANICS OF MATERIALS I,Beatriz Martin-Perez
CVG2140,A,Lecture 2,5,13:00,14:30,STE B0138,MECHANICS OF MATERIALS I,Beatriz Martin-Perez
CVG2140,A,Discussion Group 1,1,13:00,14:30,LEE B163,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,A,Discussion Group 2,3,11:30,13:00,UCU 205,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,A,Discussion Group 3,5,11:30,13:00,LMX 390,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,B,Lecture 1,2,11:30,13:00,ART 257,MECHANICS OF MATERIALS I,Leandro Sanchez
CVG2140,B,Lecture 2,5,13:00,14:30,ART 257,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,B,Discussion Group 1,1,13:00,14:30,LMX 407,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,B,Discussion Group 2,3,11:30,13:00,LEE B163,MECHANICS OF MATERIALS I,Not available at this time.
CVG2140,B,Discussion Group 3,5,11:30,13:00,STE J0106,MECHANICS OF MATERIALS I,Not available at this time.
CVG2171,A,Lecture 1,2,10:00,11:30,STE A0150,SURVEYING &amp; MEASUREMENTS,Andraos Skaff
CVG2171,A,Lecture 2,4,08:30,10:00,STE A0150,SURVEYING &amp; MEASUREMENTS,Andraos Skaff
CVG2171,A,Discussion Group 1,1,16:00,17:30,CBY D103,SURVEYING &amp; MEASUREMENTS,Not available at this time.
CVG2171,A,Discussion Group 2,1,16:00,17:30,LMX 106,SURVEYING &amp; MEASUREMENTS,Not available at this time.
CVG2171,A,Discussion Group 3,1,16:00,17:30,SMD 423,SURVEYING &amp; MEASUREMENTS,Not available at this time.
CVG2181,A,Lecture 1,1,08:30,10:00,STE A0150,NUM. MODELLING CIVIL ENG.,Hamidreza Shirkhani
CVG2181,A,Lecture 2,4,10:00,11:30,STE A0150,NUM. MODELLING CIVIL ENG.,Hamidreza Shirkhani
CVG2181,A,Laboratory 1,1,10:30,12:30,STE 0130,NUM. MODELLING CIVIL ENG.,Not available at this time.
CVG2181,A,Laboratory 2,4,14:30,16:30,STE 0130,NUM. MODELLING CIVIL ENG.,Not available at this time.
CVG2181,A,Laboratory 3,1,10:30,12:30,STE 0131,NUM. MODELLING CIVIL ENG.,Not available at this time.
CVG2181,A,Laboratory 4,5,14:30,16:30,STE 0130,NUM. MODELLING CIVIL ENG.,Not available at this time.
CVG2507,A,Lecture 1,2,13:00,14:30,STE C0136,MATÉRIAUX &amp; PROCESSUS GÉOTECH.,Moussa Thiam
CVG2507,A,Lecture 2,4,11:30,13:00,STE C0136,MATÉRIAUX &amp; PROCESSUS GÉOTECH.,Moussa Thiam
CVG2507,A,Laboratory 1,2,10:00,13:00,CBY D113,MATÉRIAUX &amp; PROCESSUS GÉOTECH.,Not available at this time.
CVG2507,A,Laboratory 2,1,13:00,16:00,CBY D113,MATÉRIAUX &amp; PROCESSUS GÉOTECH.,Not available at this time.
CVG2516,A,Lecture 1,2,08:30,10:00,MCD 120,MÉCANIQUE ÉLÉMENTAIRE FLUIDES,Alexandre Mineault-Guitard
CVG2516,A,Lecture 2,5,10:00,11:30,MCD 120,MÉCANIQUE ÉLÉMENTAIRE FLUIDES,Alexandre Mineault-Guitard
CVG2516,A,Laboratory 1,5,08:00,10:00,CBY E02,MÉCANIQUE ÉLÉMENTAIRE FLUIDES,Not available at this time.
CVG2516,A,Tutorial 1,2,14:30,16:30,LEE B152,MÉCANIQUE ÉLÉMENTAIRE FLUIDES,Not available at this time.
CVG2540,A,Course has on-line/classroom activities 1,4,13:00,16:00,LEE A130,MÉCANIQUE DES MATÉRIAUX I,Hassan Aoude
CVG2540,A,Laboratory 1,5,15:30,17:30,CBY E07,MÉCANIQUE DES MATÉRIAUX I,Not available at this time.
CVG2571,A,Lecture 1,3,19:00,22:00,MCD 120,MESURES ET ARPENTAGE,Jules-Ange Infante
CVG2571,A,Tutorial 1,3,10:00,11:00,LPR 285,MESURES ET ARPENTAGE,Not available at this time.
CVG2581,A,Lecture 1,1,16:00,17:30,SMD 222,MÉTH. NUMÉRIQUES GÉNIE CIVIL,Mohammed Mestar
CVG2581,A,Lecture 2,3,14:30,16:00,SMD 222,MÉTH. NUMÉRIQUES GÉNIE CIVIL,Mohammed Mestar
CVG2581,A,Laboratory 1,3,08:00,10:00,CBY B02,MÉTH. NUMÉRIQUES GÉNIE CIVIL,Not available at this time.
CVG3106,A,Lecture 1,3,13:00,14:30,STE A0150,SOIL MECHANICS II,Rozalina Dimitrova
CVG3106,A,Lecture 2,5,11:30,13:00,STE A0150,SOIL MECHANICS II,Rozalina Dimitrova
CVG3106,A,Discussion Group 1,1,10:00,11:30,DMS 1150,SOIL MECHANICS II,Not available at this time.
CVG3106,A,Discussion Group 2,1,10:00,11:30,MCD 146,SOIL MECHANICS II,Not available at this time.
CVG3132,A,Lecture 1,1,14:30,16:00,LEE A130,Physical / Chemical Unit Opera,Majid Sartaj
CVG3132,A,Lecture 2,5,10:00,11:30,HGN 302,Physical / Chemical Unit Opera,Majid Sartaj
CVG3132,A,Laboratory 1,2,16:00,18:30,CBY D113,Physical / Chemical Unit Opera,Not available at this time.
CVG3132,A,Laboratory 2,4,14:30,17:00,CBY D113,Physical / Chemical Unit Opera,Not available at this time.
CVG3132,A,Laboratory 3,3,09:00,11:30,CBY D113,Physical / Chemical Unit Opera,Not available at this time.
CVG3132,A,Tutorial 1,2,08:30,10:00,HGN 302,Physical / Chemical Unit Opera,Not available at this time.
CVG3147,A,Lecture 1,2,11:30,13:00,STE A0150,STRUCTURAL STEEL DESIGN I,Alaa Abdulridha
CVG3147,A,Lecture 2,5,13:00,14:30,STE A0150,STRUCTURAL STEEL DESIGN I,Alaa Abdulridha
CVG3147,A,Tutorial 1,4,10:00,11:30,LEE A130,STRUCTURAL STEEL DESIGN I,Not available at this time.
CVG3148,A,Lecture 1,1,16:00,17:30,STE A0150,REINFORCED CONCRETE DESIGN I,Hassan Aoude
CVG3148,A,Lecture 2,3,14:30,16:00,STE A0150,REINFORCED CONCRETE DESIGN I,Hassan Aoude
CVG3148,A,Laboratory 1,3,08:00,10:00,CBY E05,REINFORCED CONCRETE DESIGN I,Not available at this time.
CVG3148,A,Laboratory 2,5,08:00,10:00,CBY E05,REINFORCED CONCRETE DESIGN I,Not available at this time.
CVG3547,A,Lecture 1,2,11:30,13:00,CBY E016,CONCEPTION STRUCTURES ACIER I,Magdi Mohareb
CVG3547,A,Lecture 2,5,13:00,14:30,CBY E016,CONCEPTION STRUCTURES ACIER I,Magdi Mohareb
CVG3547,A,Tutorial 1,4,13:00,14:30,FSS 6032,CONCEPTION STRUCTURES ACIER I,Not available at this time.
CVG4001,W,Lecture 1,2,16:00,17:30,CBY D103,INTRO PROJ ENG GENIE CIVIL,Rozalina Dimitrova
CVG4001,W,Lecture 2,4,14:30,16:00,CBY D103,INTRO PROJ ENG GENIE CIVIL,Rozalina Dimitrova
CVG4001,W,Tutorial 1,4,16:00,17:30,STE F0126,INTRO PROJ ENG GENIE CIVIL,Not available at this time.
CVG4113,A,Lecture 1,2,11:30,13:00,STE C0136,HYDRAULICS WATER SPY SEWER SYS,Ousmane Seidou
CVG4113,A,Lecture 2,5,13:00,14:30,STE C0136,HYDRAULICS WATER SPY SEWER SYS,Ousmane Seidou
CVG4122,A,Lecture 1,1,11:30,13:00,STE 2060,GROUNDWATER AND SEEPAGE,Abdolmajid Mohammadian
CVG4122,A,Lecture 2,4,13:00,14:30,STE 2060,GROUNDWATER AND SEEPAGE,Abdolmajid Mohammadian
CVG4130,A,Lecture 1,1,16:00,17:30,SMD 427,ADVANCED ENVIRONMENTAL ENGIN.,Bahman Banihashemi
CVG4130,A,Lecture 2,3,14:30,16:00,SMD 427,ADVANCED ENVIRONMENTAL ENGIN.,Bahman Banihashemi
CVG4130,A,Tutorial 1,2,14:30,16:00,STE C0136,ADVANCED ENVIRONMENTAL ENGIN.,Not available at this time.
CVG4143,B,Lecture 1,1,10:00,11:30,CBY D103,STRUCTURAL STEEL DESIGN II,Magdi Mohareb
CVG4143,B,Lecture 2,3,08:30,10:00,CBY D103,STRUCTURAL STEEL DESIGN II,Magdi Mohareb
CVG4145,A,Lecture 1,3,13:00,14:30,CBY B205,REINFORCED CONCRETE DESIGN II,Martin Noël
CVG4145,A,Lecture 2,5,11:30,13:00,CBY B205,REINFORCED CONCRETE DESIGN II,Martin Noël
CVG4145,A,Tutorial 1,3,11:30,13:00,MCD 146,REINFORCED CONCRETE DESIGN II,Not available at this time.
CVG4146,A,Lecture 1,2,19:00,22:00,FSS 1030,STRUCTURAL DESIGN IN TIMBER,Ghasan Doudak
CVG4146,A,Tutorial 1,5,14:30,16:00,LEE A131,STRUCTURAL DESIGN IN TIMBER,Not available at this time.
CVG4184,A,Lecture 1,1,14:30,16:00,SMD 425,TOPICS IN GEOTECHNICAL ENG.,Sai Vanapalli
CVG4184,A,Lecture 2,3,10:00,11:30,SMD 425,TOPICS IN GEOTECHNICAL ENG.,Sai Vanapalli
CVG4907,W,Lecture 1,4,16:00,19:00,LEE A131,PROJET CONCEPT/DESIGN PROJECT,Rozalina Dimitrova
ELG2136,A,Lecture 1,1,11:30,13:00,MCD 146,ELECTRONICS I,Emad Gad
ELG2136,A,Lecture 2,4,13:00,14:30,MCD 146,ELECTRONICS I,Emad Gad
ELG2136,A,Laboratory 1,5,11:30,14:30,CBY B302,ELECTRONICS I,Not available at this time.
ELG2136,A,Tutorial 1,1,16:00,17:30,FTX 227,ELECTRONICS I,Not available at this time.
ELG2136,B,Lecture 1,2,11:30,13:00,FTX 351,ELECTRONICS I,Emad Gad
ELG2136,B,Lecture 2,5,13:00,14:30,FSS 1006,ELECTRONICS I,Emad Gad
ELG2136,B,Laboratory 1,1,14:30,17:30,CBY B302,ELECTRONICS I,Not available at this time.
ELG2136,B,Tutorial 1,5,17:30,19:00,CBY B205,ELECTRONICS I,Not available at this time.
ELG2137,A,Lecture 1,2,10:00,11:30,STE H0104,CIRCUIT THEORY II,Sawsan Abdul-Majid
ELG2137,A,Lecture 2,4,08:30,10:00,STE H0104,CIRCUIT THEORY II,Sawsan Abdul-Majid
ELG2137,A,Discussion Group 1,3,14:30,16:00,STE J0106,CIRCUIT THEORY II,Not available at this time.
ELG2137,A,Discussion Group 2,3,14:30,16:00,SMD 428,CIRCUIT THEORY II,Not available at this time.
ELG2137,A,Discussion Group 3,3,14:30,16:00,THN 124,CIRCUIT THEORY II,Not available at this time.
ELG2137,A,Laboratory 1,3,11:30,14:30,CBY B302,CIRCUIT THEORY II,Not available at this time.
ELG2137,A,Laboratory 2,1,08:30,11:30,CBY B302,CIRCUIT THEORY II,Not available at this time.
ELG2336,A,Lecture 1,2,13:00,14:30,STE B0138,ELEC. CIR. &amp; MACH. MECHA. ENG.,Riadh Habash
ELG2336,A,Lecture 2,4,11:30,13:00,STE B0138,ELEC. CIR. &amp; MACH. MECHA. ENG.,Riadh Habash
ELG2336,A,Laboratory 1,1,11:30,12:30,CBY B302,ELEC. CIR. &amp; MACH. MECHA. ENG.,Not available at this time.
ELG2336,A,Laboratory 2,1,13:00,14:00,CBY B302,ELEC. CIR. &amp; MACH. MECHA. ENG.,Not available at this time.
ELG2536,A,Lecture 1,1,11:30,13:00,STE J0106,ÉLECTRONIQUE I,Ali Karime
ELG2536,A,Lecture 2,4,13:00,14:30,STE J0106,ÉLECTRONIQUE I,Ali Karime
ELG2536,A,Laboratory 1,2,11:30,14:30,CBY B302,ÉLECTRONIQUE I,Not available at this time.
ELG2536,A,Tutorial 1,5,08:30,10:00,TBT 315,ÉLECTRONIQUE I,Not available at this time.
ELG2537,A,Lecture 1,1,14:30,16:00,CBY D103,THÉORIE DES CIRCUITS II,Hilmi Dajani
ELG2537,A,Lecture 2,3,10:00,11:30,CBY D103,THÉORIE DES CIRCUITS II,Hilmi Dajani
ELG2537,A,Laboratory 1,1,17:30,20:30,CBY B302,THÉORIE DES CIRCUITS II,Not available at this time.
ELG2537,A,Tutorial 1,3,13:00,14:30,CBY E015,THÉORIE DES CIRCUITS II,Not available at this time.
ELG2736,A,Lecture 1,1,08:30,10:00,CBY B012,CIR. &amp; MACH. ÉLEC POUR ING.MÉC,Mahmoud Youssef
ELG2736,A,Lecture 2,4,10:00,11:30,CBY B012,CIR. &amp; MACH. ÉLEC POUR ING.MÉC,Mahmoud Youssef
ELG2736,A,Laboratory 1,3,10:30,11:30,CBY B302,CIR. &amp; MACH. ÉLEC POUR ING.MÉC,Not available at this time.
ELG2911,D,Lecture 1,3,16:00,19:00,DMS 1120,PRATIQUE PROFES PRACTICE,Claude D'Amours
ELG2911,D,Tutorial 1,4,17:30,19:00,LPR 154,PRATIQUE PROFES PRACTICE,Not available at this time.
ELG2911,E,Lecture 1,3,16:00,19:00,CBY C03,PRATIQUE PROFES PRACTICE,Carlisle Adams
ELG2911,E,Tutorial 1,4,17:30,19:00,MRT 218,PRATIQUE PROFES PRACTICE,Not available at this time.
ELG2911,F,Lecture 1,3,16:00,19:00,MNT 207,PRATIQUE PROFES PRACTICE,Alexandre Lemieux
ELG2911,F,Tutorial 1,4,17:30,19:00,STE F0126,PRATIQUE PROFES PRACTICE,Not available at this time.
ELG3126,A,Lecture 1,1,13:00,14:30,LMX 220,RANDOM SIGNALS AND SYSTEMS,Peter Galko
ELG3126,A,Lecture 2,3,11:30,13:00,LMX 220,RANDOM SIGNALS AND SYSTEMS,Peter Galko
ELG3126,A,Tutorial 1,4,11:30,13:00,TBT 0021,RANDOM SIGNALS AND SYSTEMS,Not available at this time.
ELG3155,A,Lecture 1,1,11:30,13:00,MRT 250,INTRO. TO CONTROL SYSTEMS,Wail Gueaieb
ELG3155,A,Lecture 2,4,13:00,14:30,MRT 250,INTRO. TO CONTROL SYSTEMS,Wail Gueaieb
ELG3155,A,Laboratory 1,1,14:30,17:30,CBY B402,INTRO. TO CONTROL SYSTEMS,Not available at this time.
ELG3155,A,Tutorial 1,4,10:00,11:30,VNR 2075,INTRO. TO CONTROL SYSTEMS,Not available at this time.
ELG3175,A,Lecture 1,3,13:00,14:30,MRT 015,INTRO.TO COMMUNICATION SYSTEMS,Siarhei Loika
ELG3175,A,Lecture 2,5,11:30,13:00,MRT 015,INTRO.TO COMMUNICATION SYSTEMS,Siarhei Loika
ELG3175,A,Laboratory 1,1,08:30,11:30,CBY B519,INTRO.TO COMMUNICATION SYSTEMS,Not available at this time.
ELG3175,A,Tutorial 1,2,08:30,10:00,CBY D103,INTRO.TO COMMUNICATION SYSTEMS,Not available at this time.
ELG3526,A,Lecture 1,1,13:00,14:30,CBY B202,SIGNAUX ET SYSTÈMES ALÉATOIRES,Abdellah Chehri
ELG3526,A,Lecture 2,3,11:30,13:00,CBY B202,SIGNAUX ET SYSTÈMES ALÉATOIRES,Abdellah Chehri
ELG3526,A,Tutorial 1,4,11:30,13:00,FTX 315,SIGNAUX ET SYSTÈMES ALÉATOIRES,Not available at this time.
ELG3555,A,Lecture 1,2,14:30,16:00,CBY D103,INTRO. SYST. D'ASSERVISSEMENT,Wail Gueaieb
ELG3555,A,Lecture 2,4,16:00,17:30,CBY D103,INTRO. SYST. D'ASSERVISSEMENT,Wail Gueaieb
ELG3555,A,Laboratory 1,5,14:30,17:30,CBY B402,INTRO. SYST. D'ASSERVISSEMENT,Not available at this time.
ELG3555,A,Tutorial 1,5,10:00,11:30,STE 0130,INTRO. SYST. D'ASSERVISSEMENT,Not available at this time.
ELG3575,A,Lecture 1,1,08:30,10:00,DMS 9143,INTRO. SYSTEMES TELECOMMUNICA.,Claude D'Amours
ELG3575,A,Lecture 2,4,10:00,11:30,VNR 3076,INTRO. SYSTEMES TELECOMMUNICA.,Claude D'Amours
ELG3575,A,Laboratory 1,1,14:30,17:30,CBY B519,INTRO. SYSTEMES TELECOMMUNICA.,Not available at this time.
ELG3575,A,Tutorial 1,2,08:30,10:00,VNR 5040,INTRO. SYSTEMES TELECOMMUNICA.,Not available at this time.
