CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
BCH2333,A,Lecture 1,2,13:00,14:30,MRN 150,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Lecture 2,4,11:30,13:00,MRN 150,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 1,1,10:00,11:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 2,1,13:00,14:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 3,3,10:00,11:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 4,3,13:00,14:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 5,3,16:00,17:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Discussion Group 6,4,17:30,19:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Christopher Boddy
BCH2333,A,Laboratory 1,1,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 2,1,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 3,1,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 4,1,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 5,2,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 6,2,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 7,2,14:30,17:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 8,2,14:30,17:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 9,3,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 10,3,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 11,4,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 12,4,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 13,4,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 14,4,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 15,5,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 16,5,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,A,Laboratory 17,4,17:30,20:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,A,Laboratory 18,4,17:30,20:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Lecture 1,3,16:00,17:30,MRN 150,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Lecture 2,5,14:30,16:00,MRN 150,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 1,1,11:30,13:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 2,1,14:30,16:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 3,3,11:30,13:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 4,3,14:30,16:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 5,3,17:30,19:00,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Discussion Group 6,4,16:00,17:30,BSC 140,INTRODUCTION TO BIOCHEMISTRY,Adam Jason Shuhendler
BCH2333,B,Laboratory 1,1,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Laboratory 2,1,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,B,Laboratory 3,1,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Laboratory 4,1,13:00,16:00,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,B,Laboratory 5,2,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Laboratory 6,2,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,B,Laboratory 7,2,14:30,17:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Laboratory 8,2,14:30,17:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,B,Laboratory 9,3,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
BCH2333,B,Laboratory 10,3,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Josée Coutu
BCH2333,B,Laboratory 11,4,08:30,11:30,BSC 211,INTRODUCTION TO BIOCHEMISTRY,Luc Poitras
